testID,tester,machine,cpu,mhz,hwAvail,os,compiler,autoParallel,benchType,base,peak
cpu2000-20041129-03631,Hewlett-Packard Company,"ProLiant BL30p (3.2GHz/2MB L3 cache, Intel Xeon)","Intel Xeon (3.2GHz, 533MHz bus)",3200.0,Jul-2004,Windows Server 2003 Standard (Build 3790),Intel C++ Compiler 8.1 Build 20040802Z Microsoft Visual Studio .NET 7.0.9466 (for libraries) MicroQuill Smartheap Library 7.0,No,CINT2000,1487,1550
cpu2000-20041129-03633,Hewlett-Packard Company,"ProLiant BL20p G3 (3.6GHz, Intel Xeon)","Intel Xeon (3.6GHz, 1MB L2, 800MHz bus)",3600.0,Aug-2004,Windows Server 2003 Standard (Build 3790),Intel C++ Compiler 8.1 Build 20040802Z Microsoft Visual Studio .NET 7.0.9466 (for libraries) MicroQuill Smartheap Library 7.0,No,CINT2000,1510,1543
cpu2000-20041129-03636,Hewlett-Packard Company,"ProLiant BL20p G3 (3.6GHz, Intel Xeon)","Intel Xeon (3.6GHz, 1MB L2, 800MHz bus)",3600.0,Aug-2004,Windows Server 2003 Standard (Build 3790),Intel C++ Compiler 8.1 Build 20040802Z Intel Fortran Compiler 8.1 Build 20040802Z Microsoft Visual Studio .NET 7.0.9466 (for libraries) MicroQuill Smartheap Library 7.0,No,CFP2000,1593,1597
cpu2000-20041214-03641,SGI,"SGI Altix 3700 Bx2 (1500MHz, Itanium 2)",Intel Itanium 2,1500.0,Oct-2004,SGI ProPack(TM) v3.0 Service Pack 2,Intel(R) Fortran Compiler for Linux 8.1 (Build 20041021) Intel(R) C++ Compiler for Linux 8.1 (Build 20041021),No,CFP2000,2361,--
cpu2000-20041214-03642,SGI,"SGI Altix 3700 Bx2 (1500MHz, Itanium 2)",Intel Itanium 2,1500.0,Oct-2004,SGI ProPack(TM) v3.0 Service Pack 2,Intel(R) C++ Compiler for Linux 8.1 (Build 20041021) MicroQuill SmartHeap Library 7.01 (www.microquill.com),No,CINT2000,1242,--
cpu2000-20041224-03659,HP Richardson,"HP Integrity rx2620-2 (1.3GHz/3MB, Itanium 2)","Intel Itanium 2 (1.3 GHz/3MB, 400MHz FSB)",1300.0,Dec-2004,Red Hat Linux Advanced Server release 3.0AS (Update 3),Intel C++ Compiler 8.1 for Linux (Build 20041021) Intel Fortran Compiler 8.1 for Linux (Build 20041021),No,CFP2000,2229,2229
cpu2000-20041224-03661,HP Richardson,"HP Integrity rx1620-2 (1.3GHz/3MB, Itanium 2)","Intel Itanium 2 (1.3GHz/3MB, 400MHz FSB)",1300.0,Jan-2005,Red Hat Linux Advanced Server release 3.0AS (Update 3),Intel C++ Compiler 8.1 for Linux (Build 20041021) Intel Fortran Compiler 8.1 for Linux (Build 20041021),No,CFP2000,2214,2214
cpu2000-20041224-03664,HP Richardson,HP Integrity rx2620-2 (1.3GHz/3MB Itanium 2),"Intel Itanium 2 (1.3GHz/3MB, 400 MHz FSB)",1300.0,Dec-2004,HPUX11i-TCOE B.11.23.0409,HP C/ANSI C Compiler C.06.00 HP aC++ Compiler C.06.00,No,CINT2000,1170,1170
cpu2000-20041224-03665,HP Richardson,HP Integrity rx2620-2 (1.6GHz/6MB Itanium 2),"Intel Itanium 2 (1.6GHz/6MB, 400MHz FSB)",1600.0,Dec-2004,HPUX11i-TCOE B.11.23.0409,HP C/ANSI C Compiler C.06.00 HP aC++ Compiler C.06.00,No,CINT2000,1535,1535
cpu2000-20041224-03674,HP Richardson,HP Integrity rx1620-2 (1.3GHz/3MB Itanium 2),"Intel Itanium 2 (1.3GHz/3MB, 400MHz FSB)",1300.0,Jan-2005,HPUX11i-TCOE B.11.23.0409,HP C/ANSI C Compiler C.06.00 HP aC++ Compiler C.06.00,No,CINT2000,1178,1178
cpu2000-20041224-03676,HP Richardson,"HP Integrity rx2620-2 (1.6GHz/6MB, Itanium 2)","Intel Itanium 2 (1.6 GHz/6MB, 400MHz FSB)",1600.0,Dec-2004,Red Hat Linux Advanced Server release 3.0AS (Update 3),Intel C++ Compiler 8.1 for Linux (Build 20041021) Intel Fortran Compiler 8.1 for Linux (Build 20041021),No,CFP2000,2675,2675
cpu2000-20050107-03678,"Sun Microsystems, Santa Clara",Sun Blade 1500 (1.5GHz),UltraSPARC IIIi,1503.0,Feb-2005,Solaris 10,Sun Studio 9,No,CINT2000,697,796
cpu2000-20050107-03679,"Sun Microsystems, Santa Clara",Sun Blade 1500 (1.5GHz),UltraSPARC IIIi,1503.0,Feb-2005,Solaris 10,Sun Studio 9 Sun Performance Library 9,No,CFP2000,1133,1272
cpu2000-20050107-03680,"Sun Microsystems, Santa Clara",Sun Blade 2500 (1.6GHz),UltraSPARC IIIi,1600.0,Feb-2005,Solaris 10,Sun Studio 9,No,CINT2000,739,845
cpu2000-20050107-03681,"Sun Microsystems, Santa Clara",Sun Blade 2500 (1.6GHz),UltraSPARC IIIi,1600.0,Feb-2005,Solaris 10,Sun Studio 9 Sun Performance Library 9,No,CFP2000,1200,1353
cpu2000-20050110-03690,Sun Microsystems,Sun Fire V240 (1503MHz),UltraSPARC IIIi,1503.0,Jan-2005,Solaris 10,Sun Studio 9,No,CFP2000,1136,1271
cpu2000-20050110-03691,Sun Microsystems,Sun Fire V240 (1503MHz),UltraSPARC IIIi,1503.0,Jan-2005,Solaris 10,Sun Studio 9,No,CINT2000,698,794
cpu2000-20050111-03699,Sun Microsystems,Sun Fire V210 (1336MHz),UltraSPARC IIIi,1336.0,Jan-2005,Solaris 10,Sun Studio 9,No,CFP2000,1006,1117
cpu2000-20050111-03700,Sun Microsystems,Sun Fire V210 (1336MHz),UltraSPARC IIIi,1336.0,Jan-2005,Solaris 10,Sun Studio 9,No,CINT2000,621,706
